path,owner_lane,current_classification,reference_summary,recommended_action,target_path,compatibility_alias_required,delete_risk,expires_at,notes
output/latest/candidate_repeat_appearance_validation_latest.md,daily_production,diagnostic_stale_candidate,"scripts: scripts/validate_candidate_repeat_appearance.py writes this root validation MD; workflows: .github/workflows/daily_full_pipeline.yml runs the validator; validators/docs: no downstream consumer found beyond artifact audit.",keep_diagnostic_latest_alias,output/latest/candidate_repeat_appearance_validation_latest.md,true,high,not_before_producer_migration,"Keep root diagnostic latest alias; moving safely requires producer and workflow migration together with the JSON pair."
output/latest/chip_flow_source_status_latest.md,daily_production,diagnostic_stale_candidate,"rg path/name search found no scripts, validators, docs, or workflows consumer/producer outside inventory and prior audit.",relocate_to_diagnostics,output/latest/diagnostics/chip_flow_source_status_latest.md,false,low,2026-07-31,"Moved to diagnostics; no root compatibility alias required."
output/latest/daily_candidate_regression_2484_latest.csv,daily_production,diagnostic_stale_candidate,"scripts: scripts/validate_daily_candidate_regression_cases.py writes this root CSV; workflows: .github/workflows/daily_full_pipeline.yml runs the validator; validators: scripts/validate_repo_semantic_integrity.py tracks the validator script.",keep_diagnostic_latest_alias,output/latest/daily_candidate_regression_2484_latest.csv,true,high,not_before_producer_migration,"Keep root diagnostic latest alias; migrate only with all regression outputs and workflow expectations."
output/latest/daily_candidate_regression_2484_latest.md,daily_production,diagnostic_stale_candidate,"scripts: scripts/validate_daily_candidate_regression_cases.py writes this root MD; workflows: .github/workflows/daily_full_pipeline.yml runs the validator; validators: scripts/validate_repo_semantic_integrity.py tracks the validator script.",keep_diagnostic_latest_alias,output/latest/daily_candidate_regression_2484_latest.md,true,high,not_before_producer_migration,"Keep root diagnostic latest alias; migrate only with all regression outputs and workflow expectations."
output/latest/daily_candidate_regression_8069_latest.csv,daily_production,diagnostic_stale_candidate,"scripts: scripts/validate_daily_candidate_regression_cases.py writes this root CSV; workflows: .github/workflows/daily_full_pipeline.yml runs the validator; validators: scripts/validate_repo_semantic_integrity.py tracks the validator script.",keep_diagnostic_latest_alias,output/latest/daily_candidate_regression_8069_latest.csv,true,high,not_before_producer_migration,"Keep root diagnostic latest alias; migrate only with all regression outputs and workflow expectations."
output/latest/daily_candidate_regression_8069_latest.md,daily_production,diagnostic_stale_candidate,"scripts: scripts/validate_daily_candidate_regression_cases.py writes this root MD; workflows: .github/workflows/daily_full_pipeline.yml runs the validator; validators: scripts/validate_repo_semantic_integrity.py tracks the validator script.",keep_diagnostic_latest_alias,output/latest/daily_candidate_regression_8069_latest.md,true,high,not_before_producer_migration,"Keep root diagnostic latest alias; migrate only with all regression outputs and workflow expectations."
output/latest/daily_data_layer_consistency_audit_latest.md,daily_production,diagnostic_stale_candidate,"scripts: scripts/audit_daily_data_layer_consistency.py writes this root MD; workflows: .github/workflows/daily_full_pipeline.yml runs the audit and stages output/latest/daily_data_layer_consistency_audit_latest.*.",keep_diagnostic_latest_alias,output/latest/daily_data_layer_consistency_audit_latest.md,true,high,not_before_producer_migration,"Keep root diagnostic latest alias because daily_full_pipeline writes and stages it."
output/latest/daily_price_history_continuity_latest.md,daily_production,diagnostic_stale_candidate,"scripts: scripts/validate_daily_price_history_continuity.py writes this root MD; workflows: daily_full_pipeline, repair_daily_price_range, and repair_one_daily_price run or stage daily_price_history_continuity_latest.*.",keep_diagnostic_latest_alias,output/latest/daily_price_history_continuity_latest.md,true,high,not_before_producer_migration,"Keep root diagnostic latest alias because daily and repair workflows stage it."
output/latest/repair_daily_price_range_latest.csv,daily_production,diagnostic_stale_candidate,"scripts: scripts/repair_daily_price_range.py writes this root CSV; workflows: repair_daily_price_range and repair_one_daily_price stage output/latest/repair_daily_price_range_latest.*.",keep_diagnostic_latest_alias,output/latest/repair_daily_price_range_latest.csv,true,high,not_before_repair_workflow_migration,"Keep root diagnostic latest alias because repair workflows stage it."
output/latest/repair_daily_price_range_latest.md,daily_production,diagnostic_stale_candidate,"scripts: scripts/repair_daily_price_range.py writes this root MD; workflows: repair_daily_price_range and repair_one_daily_price stage output/latest/repair_daily_price_range_latest.*.",keep_diagnostic_latest_alias,output/latest/repair_daily_price_range_latest.md,true,high,not_before_repair_workflow_migration,"Keep root diagnostic latest alias because repair workflows stage it."
output/latest/repair_one_daily_price_latest.md,daily_production,diagnostic_stale_candidate,"rg path/name search found no scripts, validators, docs, or workflows consumer/producer outside inventory and prior audit.",relocate_to_diagnostics,output/latest/diagnostics/repair_one_daily_price_latest.md,false,low,2026-07-31,"Moved to diagnostics; no root compatibility alias required."
output/latest/revenue_breakout_low_response_debug_latest.md,daily_production,diagnostic_stale_candidate,"docs/raw surface: output/latest/revenue_breakout_low_response_latest.md references this exact root path; scripts/workflows/validators: no direct root-path consumer found.",keep_until_same_family_review,output/latest/revenue_breakout_low_response_debug_latest.md,true,medium,after_unknown_revenue_breakout_review,"Do not move in this PR because same-family summary links to the root debug artifact."
